Time, Fx, Fy, Fz, Tx, Ty, Yz, Fx_tmp, Fy_tmp, Fz_tmp, Tx_tmp, Ty_tmp, Tz_tmp
14.388, 1.94, 0, -1.14, 0, 0, 0, 1.94, -0.1, -1.14, -0.0055, 0.0205, 0.002, 
14.488, 1.68, 0, -1.36, 0, 0, 0.0065, 1.68, -0.08, -1.36, -0.007, 0.013, 0.0065, 
14.588, 1.86, 0, -0.98, 0, 0, 0, 1.86, 0, -0.98, 0.0055, 0.016, 0.0005, 
14.688, 1.62, 0, -1.62, 0, 0, 0, 1.62, -0.46, -1.62, -0.0085, 0.009, 0.001, 
14.788, 1.94, 0, -1.38, 0, 0, -0.005, 1.94, -0.04, -1.38, -0.001, 0.0225, -0.005, 
14.888, 2.06, 0, -1.52, 0, 0, -0.006, 2.06, 0.34, -1.52, 0.009, 0.0105, -0.006, 
14.988, 1.5, 0, -1.58, 0, 0, 0, 1.5, -0.2, -1.58, -0.0125, 0.015, 0.002, 
15.088, 1.82, 0, -1.14, 0, 0, 0, 1.82, -0.28, -1.14, -0.0145, 0.024, 0.003, 
15.188, 1.88, 0, -1.32, 0, 0, -0.005, 1.88, 0.12, -1.32, -0.0045, 0.027, -0.005, 
15.288, 2.04, 0, -1.74, 0, 0, -0.0065, 2.04, 0.14, -1.74, 0.001, 0.005, -0.0065, 
15.388, 1.84, 0, -1.54, 0, 0, 0, 1.84, -0.12, -1.54, -0.0055, 0.014, 0.002, 
15.488, 1.7, 0, -1.3, 0, 0, 0, 1.7, -0.2, -1.3, -0.0065, 0.019, -0.0045, 
15.588, 1.74, 0, -0.98, 0, 0, -0.005, 1.74, 0, -0.98, -0.009, 0.0235, -0.005, 
15.688, 1.8, 0, -1.32, 0, 0, 0, 1.8, -0.26, -1.32, -0.003, 0.014, 0.0035, 
15.788, 1.86, 0, -1.18, 0, 0, 0, 1.86, -0.26, -1.18, 0, 0.0215, 0.0005, 
15.888, 1.84, 0, -1.62, 0, 0, -0.0085, 1.84, 0.34, -1.62, -0.002, 0.0175, -0.0085, 
15.988, 1.96, 0, -1.64, 0, 0, -0.0055, 1.96, 0.08, -1.64, -0.008, 0.02, -0.0055, 
16.088, 1.96, 0, -1.66, 0, 0, 0, 1.96, -0.3, -1.66, 0.0025, 0.023, 0.0035, 
16.188, 1.76, 0, -1.52, 0, 0, 0.009, 1.76, -0.18, -1.52, 0.006, 0.018, 0.009, 
16.288, 1.84, 0, -1.42, 0, 0, 0, 1.84, 0.08, -1.42, 0.0065, 0.0185, -0.0035, 
16.388, 1.8, 0, -1.64, 0, 0, 0, 1.8, -0.08, -1.64, -0.002, 0.0135, -0.0015, 
16.488, 2.04, 0, -1.18, 0, 0, 0, 2.04, 0.08, -1.18, -0.0005, 0.0245, 0.004, 
16.588, 2.12, 0, -1.72, 0, 0, 0, 2.12, 0.08, -1.72, -0.003, 0.009, 0, 
16.688, 1.7, 0, -1.86, 0, 0, 0, 1.7, -0.18, -1.86, -0.006, 0.0145, 0.001, 
16.788, 1.8, 0, -1.3, 0, 0, -0.005, 1.8, 0.02, -1.3, -0.0125, 0.0165, -0.005, 
16.888, 1.86, 0, -1.5, 0, 0, 0, 1.86, -0.28, -1.5, 0.0005, 0.021, 0.001, 
16.988, 1.96, 0, -1.38, 0, 0, 0, 1.96, -0.02, -1.38, -0.0045, 0.026, 0, 
17.088, 1.78, 0, -1.16, 0, 0, -0.0065, 1.78, -0.04, -1.16, -0.005, 0.0205, -0.0065, 
17.188, 1.84, 0, -1.48, 0, 0, 0, 1.84, -0.06, -1.48, -0.0035, 0.015, -0.001, 
17.288, 1.72, 0, -1.48, 0, 0, -0.0055, 1.72, 0.2, -1.48, -0.0135, 0.018, -0.0055, 
17.388, 1.94, 0, -1.76, 0, 0, 0, 1.94, -0.04, -1.76, -0.0035, 0.017, -0.001, 
17.488, 1.82, 0, -1.66, 0, 0, 0, 1.82, 0.08, -1.66, 0.0055, 0.0165, 0, 
17.588, 1.94, 0, -1.74, 0, 0, 0, 1.94, -0.1, -1.74, -0.008, 0.0125, -0.001, 
17.688, 1.8, 0, -1.18, 0, 0, 0.0055, 1.8, -0.54, -1.18, -0.012, 0.0245, 0.0055, 
17.788, 1.74, 0, -1.6, 0, 0, 0, 1.74, -0.04, -1.6, -0.005, 0.0185, 0, 
17.888, 2.1, 0, -1.62, 0, 0, 0, 2.1, -0.06, -1.62, 0.0035, 0.016, 0.004, 
17.988, 1.98, 0, -1.22, 0, 0, 0.0085, 1.98, -0.28, -1.22, -0.012, 0.018, 0.0085, 
18.088, 1.84, 0, -1.38, 0, 0, 0, 1.84, 0.08, -1.38, 0, 0.024, -0.0015, 
18.188, 1.82, 0, -1.54, 0, 0, -0.0055, 1.82, 0.38, -1.54, 0.005, 0.017, -0.0055, 
18.288, 1.94, 0, -1.24, 0, 0, 0, 1.94, 0.02, -1.24, -0.001, 0.028, -0.001, 
18.388, 2.02, 0, -1.58, 0, 0, 0, 2.02, -0.16, -1.58, -0.0065, 0.015, 0.002, 
18.488, 1.84, 0, -1.28, 0, 0, 0, 1.84, 0.1, -1.28, 0, 0.013, -0.0005, 
18.588, 1.84, 0, -0.98, 0, 0, 0, 1.84, -0.1, -0.98, -0.007, 0.0125, -0.002, 
18.688, 1.9, 0, -1.18, 0, 0, 0, 1.9, -0.26, -1.18, -0.01, 0.0225, -0.0025, 
18.788, 1.96, 0, -1.26, 0, 0, 0.0065, 1.96, -0.16, -1.26, -0.005, 0.0215, 0.0065, 
18.888, 1.74, 0, -1.68, 0, 0, 0.009, 1.74, -0.18, -1.68, 0.0045, 0.0165, 0.009, 
18.988, 1.66, 0, -1.16, 0, 0, 0, 1.66, -0.2, -1.16, 0.0025, 0.023, -0.002, 
19.088, 1.84, 0, -1.46, 0, 0, 0, 1.84, 0, -1.46, -0.0035, 0.012, -0.003, 
19.188, 1.86, 0, -1.74, 0, 0, -0.0065, 1.86, 0.04, -1.74, -0.011, 0.0175, -0.0065, 
19.288, 1.8, 0, -0.98, 0, 0, -0.0055, 1.8, 0.14, -0.98, -0.006, 0.0255, -0.0055, 
19.388, 1.8, 0, -1.62, 0, 0, 0, 1.8, 0.32, -1.62, 0.0095, 0.021, 0.0005, 
19.488, 1.9, 0, -1.64, 0, 0, 0, 1.9, 0.24, -1.64, 0.0005, 0.0135, -0.001, 
19.588, 2.04, 0, -1.38, 0, 0, 0, 2.04, 0.18, -1.38, 0.006, 0.017, -0.003, 
19.688, 1.84, 0, -1.64, 0, 0, 0, 1.84, 0.06, -1.64, 0.003, 0.027, -0.0005, 
19.788, 1.86, 0, -1.4, 0, 0, 0, 1.86, 0.02, -1.4, -0.008, 0.015, 0.0025, 
19.888, 1.9, 0, -1.36, 0, 0, 0, 1.9, -0.22, -1.36, -0.006, 0.0265, -0.002, 
19.988, 1.86, 0, -1.4, 0, 0, 0, 1.86, -0.14, -1.4, -0.004, 0.0175, 0.002, 
20.088, 1.9, 0, -1.28, 0, 0, -0.0075, 1.9, 0, -1.28, 0.002, 0.022, -0.0075, 
20.188, 1.92, 0, -1.24, 0, 0, 0, 1.92, -0.12, -1.24, -0.0055, 0.023, -0.0045, 
20.288, 1.5, 0, -1.44, 0, 0, 0, 1.5, 0.3, -1.44, -0.002, 0.024, -0.004, 
20.388, 1.74, 0, -1.62, 0, 0, 0, 1.74, -0.22, -1.62, -0.0005, 0.0195, 0, 
20.488, 1.96, 0, -1.04, 0, 0, -0.0065, 1.96, 0.18, -1.04, 0.0045, 0.019, -0.0065, 
20.588, 2.06, 0, -1.28, 0, 0, 0, 2.06, 0.04, -1.28, 0.001, 0.0175, -0.0045, 
20.688, 1.72, 0, -1.62, 0, 0, 0.0055, 1.72, -0.02, -1.62, 0, 0.0205, 0.0055, 
20.788, 1.54, 0, -1.44, 0, 0, 0.007, 1.54, -0.12, -1.44, -0.005, 0.0285, 0.007, 
20.888, 1.8, 0, -1.32, 0, 0, 0, 1.8, -0.2, -1.32, -0.022, 0.0235, -0.0025, 
20.988, 1.84, 0, -1.2, 0, 0, -0.0105, 1.84, 0.08, -1.2, -0.0025, 0.03, -0.0105, 
21.088, 1.68, 0, -1.54, 0, 0, 0, 1.68, -0.54, -1.54, -0.009, 0.015, -0.001, 
21.188, 1.6, 0, -1.72, 0, 0, 0, 1.6, 0, -1.72, 0.0045, 0.02, 0.001, 
21.288, 2.02, 0, -1.54, 0, 0, 0.0055, 2.02, -0.22, -1.54, -0.0075, 0.0215, 0.0055, 
21.388, 1.78, 0, -1.94, 0, 0, 0.006, 1.78, -0.16, -1.94, 0.004, 0.02, 0.006, 
21.488, 1.68, 0, -1.2, 0, 0, -0.007, 1.68, -0.28, -1.2, -0.0165, 0.0185, -0.007, 
21.588, 1.84, 0, -1.52, 0, 0, 0, 1.84, -0.06, -1.52, -0.0125, 0.0125, 0.0005, 
21.688, 1.94, 0, -1.22, 0, 0, 0.0055, 1.94, -0.1, -1.22, 0.0035, 0.0305, 0.0055, 
21.788, 1.74, 0, -1.38, 0, 0, 0, 1.74, -0.06, -1.38, -0.0105, 0.016, 0.0035, 
21.888, 1.86, 0, -1.36, 0, 0, 0, 1.86, -0.28, -1.36, -0.016, 0.01, 0, 
21.988, 1.82, 0, -1.32, 0, 0, 0, 1.82, -0.18, -1.32, 0.0035, 0.0155, -0.001, 
22.088, 1.7, 0, -1.36, 0, 0, -0.0075, 1.7, 0.12, -1.36, -0.001, 0.0285, -0.0075, 
22.188, 1.84, 0, -1.54, 0, 0, 0, 1.84, -0.1, -1.54, -0.0025, 0.024, 0.003, 
22.288, 1.68, 0, -1.3, 0, 0, -0.005, 1.68, -0.18, -1.3, -0.01, 0.0275, -0.005, 
22.388, 1.86, 0, -1.72, 0, 0, 0, 1.86, -0.22, -1.72, -0.0145, 0.018, 0.0025, 
22.488, 1.64, 0, -1.32, 0, 0, -0.01, 1.64, 0.12, -1.32, -0.0035, 0.0195, -0.01, 
22.588, 1.62, 0, -1.56, 0, 0, 0.0055, 1.62, -0.28, -1.56, 0.0025, 0.0225, 0.0055, 
